Name,Author,Fiction / non-fiction,Primary Genre
Against The Loveless World,Susan Abulhawa,Fiction,Modern & Contemporary Fiction
Call me by your name,Andre Aciman,Fiction,Modern & Contemporary Fiction
The Gentleman from Peru,Andre Aciman,Fiction,Modern & Contemporary Fiction
The List ,Yomi Adegoke,Fiction,Modern & Contemporary Fiction
Martyr!,Kaveh Akbar,Fiction,Modern & Contemporary Fiction
Love Marriage,Monica Ali,Fiction,Modern & Contemporary Fiction
Carmen and Grace,Melissa Coss Aquino,Fiction,Modern & Contemporary Fiction
Falling Animals,Sheila Armstrong,Fiction,Modern & Contemporary Fiction
13 Ways of Looking at a Fat Girl,Mona Awad,Fiction,Modern & Contemporary Fiction
When We Were Birds,Ayanna Lloyd Banwo,Fiction,Modern & Contemporary Fiction
Voices of the Lost,Hoda Barakat,Fiction,Modern & Contemporary Fiction
The Vanishing Half,Brit Bennett,Fiction,Modern & Contemporary Fiction
Welcome to the Hyunam-Dong Bookshop,Hwang Bo-Reum,Fiction,Modern & Contemporary Fiction
The Ministry of Time,Kaliane Bradley,Fiction,Modern & Contemporary Fiction
The Cautious Traveller's Guide to the Wastelands,Sarah Brooks,Fiction,Modern & Contemporary Fiction
Hero,Katie Buckley,Fiction,Modern & Contemporary Fiction
The Five sorrowful mysteries of Andy africa,Stephen Buoro,Fiction,Modern & Contemporary Fiction
Queenie,Candice Carty-Williams,Fiction,Modern & Contemporary Fiction
Iron Annie,Luke Cassidy,Fiction,Modern & Contemporary Fiction
Small Pleasures,Clare Chambers,Fiction,Modern & Contemporary Fiction
Shy Creatures,Clare Chambers,Fiction,Modern & Contemporary Fiction
The Storm We Made,Vanessa Chan,Fiction,Modern & Contemporary Fiction
Homeseeking,Karissa Chen,Fiction,Modern & Contemporary Fiction
Piranesi,Susanna Clarke,Fiction,Modern & Contemporary Fiction
Piranesi,Susanna Clarke,Fiction,Modern & Contemporary Fiction
Cult Classic,Sloane Crosley,Fiction,Modern & Contemporary Fiction
Cult Classic,Sloane Crosley,Fiction,Modern & Contemporary Fiction
Speak to Me of Home,Jeanine Cummins,Fiction,Modern & Contemporary Fiction
Vox,Christina Dalcher,Fiction,Modern & Contemporary Fiction
The Stargazers,Harriet Evans,Fiction,Modern & Contemporary Fiction
"girl, woman, other",Bernardine Evaristo,Fiction,Modern & Contemporary Fiction
Nothing Special,Nicole Flattery,Fiction,Modern & Contemporary Fiction
Life Hacks for a Little Alien,Alice Franklin,Fiction,Modern & Contemporary Fiction
American Gods,Neil Gaiman,Fiction,Modern & Contemporary Fiction
Life and Soul of the Party,Mike Gayle,Fiction,Modern & Contemporary Fiction
Maame,Jessica George,Fiction,Modern & Contemporary Fiction
City of Girls,Elizabeth Gilbert,Fiction,Modern & Contemporary Fiction
Afterlives,Abdulrazak Gurnah,Fiction,Modern & Contemporary Fiction
All the Other Mothers Hate Me,Sarah Harman,Fiction,Modern & Contemporary Fiction
Orbital,Samantha Harvey,Fiction,Modern & Contemporary Fiction
"Really Good, Actually",Monica Heisey,Fiction,Modern & Contemporary Fiction
The Great Reclamation,Rachel Heng,Fiction,Modern & Contemporary Fiction
Other Peoples clothes,Calla Henkel,Fiction,Modern & Contemporary Fiction
Hungry Ghosts,Kevin Jared Hosein,Fiction,Modern & Contemporary Fiction
They're going to love you,Meg Howrey,Fiction,Modern & Contemporary Fiction
Klara and the sun,Kazou Ishiguro,Fiction,Modern & Contemporary Fiction
At Certain Points We Touch,Lauren John Joseph,Fiction,Modern & Contemporary Fiction
Trespasses,Louise Kennedy,Fiction,Modern & Contemporary Fiction
Grown Ups ,Marian Keyes,Fiction,Modern & Contemporary Fiction
The Eyes are the Best Part,Monika Kim,Fiction,Modern & Contemporary Fiction
Yellowface,R. F. Kuang,Fiction,Modern & Contemporary Fiction
Stolen ,Ann-Helen Laestadius,Fiction,Modern & Contemporary Fiction
No one is talking about this,Patricia Lockwood,Fiction,Modern & Contemporary Fiction
Fruit of the Dead,Rachel Lyon,Fiction,Modern & Contemporary Fiction
Life of Pi,Yann Martel,Fiction,Modern & Contemporary Fiction
Cleopatra and Frankenstein,Coco Mellors,Fiction,Modern & Contemporary Fiction
The Full Moon Coffee Shop,Mai Mochizuki,Fiction,Modern & Contemporary Fiction
