Name,Author,Pub Year,ISBN-13,Publisher,Imprint Publisher,BookType,Primary Genre,Genres,Ficiton/non-fiction,Series,Volume,Unit Price,Page number,Language,Read by Stinky,Read by Matt,QTY,To/From,surname,Primary Genre numerical
Against The Loveless World,Susan Abulhawa,2020,9781526626400,Bloomsbury,Bloomsbury Circus,Proof,Modern & Contemporary Fiction,Political Fiction,Fiction,0,,,364,English,0,0,1,,Abulhawa,0
Call me by your name,Andre Aciman,2017,9781786495259,Grove Atlantic,Atlantic Books,Paperback,Modern & Contemporary Fiction,"Romance, drama, coming-of-age",Fiction,0,,8.99,248,English,1,0,1,,Aciman,0
The Hitchhikers guide to the galaxy,Douglas Adams,1979,330258648,Pan,Pan,Paperback - A Format,Science Fiction,"Young Adult, Science Fiction, Fantasy",Fiction,0,,0.9,159,English,1,0,1,,Adams,8
Half of a Yellow Sun,Chimamanda Ngozi Adichie,2017,9780007200283,Harper Collins,4Th Estate,Paperback,Historical Fiction,"Novel, Historical Fiction, Political Fiction",Fiction,0,,8.99,433,English,0,0,1,,Adichie,11
Ghosts,Dolly Alderton,2020,9780241434543,Penguin Random House,Fig Tree,Hardback,Romance,"Fantasy Romance, Modern & Contempary",Fiction,0,,14.99,338,English,1,0,1,,Alderton,3
A Long Petal Of The Sun,Isabel Allende,2020,9781526615909,Bloomsbury,Bloomsbury,Hardback,Historical Fiction,Historical Fiction,Fiction,0,,,311,English,0,0,1,,Allende,11
Violeta,Isabel Allende,2022,9781526648358,Bloomsbury,Bloomsbury,Proof,Historical Fiction,Historical Fiction,Fiction,0,,,319,English,0,0,1,,Allende,11
Carmen and Grace,Melissa Coss Aquino,2023,9781837931224,Bloomsbury,Head Of Zeus,Proof,Modern & Contemporary Fiction,"Coming-of-age, Mystery, Domestic Fiction",Fiction,0,,,389,English,0,0,2,,Aquino,0
The Leviathan,Rosie Andrews,2022,9781526637345,Bloomsbury,Raven Books,Proof,Historical Fiction,"Historical Fiction, Fairy Tale",Fiction,0,,,306,English,1,0,1,,Andrews,11
Violeta,Isabel Allende,2022,9781526648341,Bloomsbury,Bloomsbury,Hardback,Historical Fiction,Historical Fiction,Fiction,0,,16.99,320,English,0,0,1,,Allende,11
Falling Animals,Sheila Armstrong,2023,9781526635846,Bloomsbury,Bloomsbury Circus,Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,0,,,229,English,0,0,1,,Armstrong,0
Conjure Women,Afia Atakora,2021,9780008293956,Harper Collins,4Th Estate,Paperback,Historical Fiction,"Historical Fiction, Literary Fiction",Fiction,0,,8.99,400,English,0,0,1,,Atakora,11
The Handmaid's Tale,Margaret Atwood,1996,9780099740919,Penguin Random House,Vintage,Paperback,Classic Fiction,Dystopian Fiction,Fiction,The Handmaid's Tale,1,7.99,324,English,1,0,1,,Atwood,4
Red Queen,Victoria Aveyard,2015,9781409150725,Hachette,Orion,Paperback,Young Adult,"Young Adult, Fantasy",Fiction,Red Queen ,1,7.99,388,English,1,0,1,,Aveyard,9
13 Ways of Looking at a Fat Girl,Mona Awad,2020,9781789540826,Bloomsbury,Head Of Zeus,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,0,,8.99,238,English,0,0,1,,Awad,0
"October, October",Katya Balen,2020,9781526601902,Bloomsbury,Bloomsbury Childrens Books,Paperback,Children's & Teenage,"Middle Grade, Family & Home",Fiction,0,,6.99,290,English,0,0,1,,Balen,10
Voices of the Lost,Hoda Barakat,2021,9781786077226,Oneworld Publications,Oneworld Publications,Paperback,Modern & Contemporary Fiction,Fiction in translation,Fiction,0,,12.99,197,English,0,0,1,,Barakat,0
This Wicked Fate,Kalynn Bayron,2022,9781526650726,Bloomsbury,Bloomsbury Ya,Paperback,Young Adult,"Young Adult, Fantasy Romance",Fiction,This Poison Heart,2,7.99,307,English,0,0,1,,Bayron,9
Alex's Adventures in Numberland,Alex Bellos,2011,9781408809594,Bloomsbury,Bloomsbury,Paperback,Popular Science,Mathematics,Non-Fiction,0,,8.99,448,English,0,0,1,,Bellos,13
The Peace of Wild Things,Wendell Berry,2018,9780141987125,Penguin Random House,Penguin Books,Paperback,Poetry,Poetry,Fiction,0,,8.99,134,English,0,0,1,,Berry,6
What Color is Your Parachute?,Richard N Bolles,2021,9781984857866,Penguin Random House,Ten Speed Press,Paperback,Careers,"Economics, Careers",Non-Fiction,0,,15.99,343,English,0,0,1,,Bolles,22
Wuthering Heights,Emily Bronte,1995,9780141439556,Penguin,Penguin,Paperback,Classic Fiction,Classic Fiction,Fiction,0,,4.99,353,English,1,0,1,,Bronte,4
Toffee,Sarah Crossan,2019,9781526613943,Bloomsbury,Bloomsbury Ya,Proof,Children's & Teenage,Childrens And Teenage,Fiction,0,,,400,English,0,0,1,,Crossan,10
Tomorrow is Beautiful,Sarah Crossan,2021,9781526641892,Bloomsbury,Bloomsbury Ya,Hardback,Poetry,Poetry,Fiction,0,,12.99,265,English,0,0,1,,Crossan,6
Vox,Christina Dalcher,2019,9780008300678,Harper Collins,Hq,Paperback,Modern & Contemporary Fiction,"Thrillers, fantasy, modern and contempary fiction",Fiction,0,,8.99,388,English,0,0,1,,Dalcher,0
The Selfish Gene,Richard Dawkins,1989,9780199291151,Oxford University Press,Oxford University Press,Paperback,Popular Science,"popular science, mathematics, evolution, biology and life sciences",Non-Fiction,0,,8.99,359,English,0,0,1,,Dawkins,13
The start of something,Miranda Dickinson,2022,9780008440756,Harper Collins,Hq,Paperback,Romance,"Thriller, contempary romance",Fiction,0,,8.99,391,English,1,0,1,,Dickinson,3
No Life for a Lady,Hannah Dolby,2023,9781804544365,Bloomsbury,Head Of Zeus,Proof,Historical Fiction,"Historical Romance, historical fiction",Fiction,0,,16.99,355,English,1,0,1,,Dolby,11
A visible Man,Edward Enninful,2022,9781526641540,Bloomsbury,Bloomsbury,Proof,Memoirs,"Memoirs, biography and true stories, Fashion and Beauty, Career",Non-Fiction,0,,,275,English,1,0,1,,Enninful,19
"girl, woman, other",Bernardine Evaristo,2019,9780241984994,Penguin,Penguin,Paperback,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,0,,8.99,453,English,0,0,1,,Evaristo,0
Settlers,Jimi Famurewa,2022,9781472991577,Bloomsbury,Bloomsbury Continuum,Proof,History,"Social and cultural history, society and culture",Non-Fiction,0,,,290,English,0,0,1,,Famurewa,17
Nothing Special,Nicole Flattery,2023,9781526612137,Bloomsbury,Bloomsbury,Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,0,,,230,English,1,0,1,,Flattery,0
The Story of Russia,Orlando Figes,2022,9781526631763,Bloomsbury,Bloomsbury,Trade Paperback,History,"History, Russian Revolution",Non-Fiction,0,,14.99,348,English,0,0,1,,Figes,17
The Guest List,Lucy Foley,2020,9780008297190,Harper Collins,,Paperback,Crime & Mystery,"Crime, Thriller",Fiction,0,,8.99,375,English,0,1,1,,Foley,2
