,Name,Author,Pub Year,ISBN-13,Publisher,Imprint Publisher,BookType,Primary Genre,Genres,Fiction / non-fiction,Series,Volume,Unit Price,Page number,Language,Read by Stinky,Read by Matt,QTY,To/From,surname,page_number_group,price,Primary Genre numerical
0,Against The Loveless World,Susan Abulhawa,2020,9781526626400,Bloomsbury,Bloomsbury Circus,Proof,Modern & Contemporary Fiction,Political Fiction,Fiction,,,,364,English,0,0,1,,Abulhawa,300-400,,0
1,Call me by your name,Andre Aciman,2017,9781786495259,Grove Atlantic,Atlantic Books,Paperback,Modern & Contemporary Fiction,"Romance, Drama, Coming-Of-Age",Fiction,,,8.99,248,English,1,0,1,,Aciman,200-300,£8-£10,0
2,The Hitchhikers guide to the galaxy,Douglas Adams,1979,330258648,Pan Macmillan,Pan,Paperback - A Format,Science Fiction,"Young Adult, Science Fiction, Fantasy",Fiction,,,0.9,159,English,1,0,1,,Adams,100-200,<£8,8
3,Half of a Yellow Sun,Chimamanda Ngozi Adichie,2017,9780007200283,Harper Collins,4Th Estate,Paperback,Historical Fiction,"Novel, Historical Fiction, Political Fiction",Fiction,,,8.99,433,English,0,0,1,,Adichie,400-500,£8-£10,11
4,Ghosts,Dolly Alderton,2020,9780241434543,Penguin Random House,Fig Tree,Hardback,Romance,"Fantasy Romance, Modern & Contempary",Fiction,,,14.99,338,English,1,0,1,,Alderton,300-400,£12+,3
5,A Long Petal Of The Sun,Isabel Allende,2020,9781526615909,Bloomsbury,Bloomsbury,Hardback,Historical Fiction,Historical Fiction,Fiction,,,,311,English,0,0,1,,Allende,300-400,,11
6,Violeta,Isabel Allende,2022,9781526648358,Bloomsbury,Bloomsbury,Proof,Historical Fiction,Historical Fiction,Fiction,,,,319,English,0,0,1,,Allende,300-400,,11
7,Carmen and Grace,Melissa Coss Aquino,2023,9781837931224,Bloomsbury,Head Of Zeus,Proof,Modern & Contemporary Fiction,"Coming-Of-Age, Mystery, Domestic Fiction",Fiction,,,,389,English,0,0,2,,Aquino,300-400,,0
8,The Leviathan,Rosie Andrews,2022,9781526637345,Bloomsbury,Raven Books,Proof,Historical Fiction,"Historical Fiction, Fairy Tale",Fiction,,,,306,English,1,0,1,,Andrews,300-400,,11
9,Violeta,Isabel Allende,2022,9781526648341,Bloomsbury,Bloomsbury,Hardback,Historical Fiction,Historical Fiction,Fiction,,,16.99,320,English,0,0,1,,Allende,300-400,£12+,11
10,Falling Animals,Sheila Armstrong,2023,9781526635846,Bloomsbury,Bloomsbury Circus,Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,,,,229,English,0,0,1,,Armstrong,200-300,,0
11,Conjure Women,Afia Atakora,2021,9780008293956,Harper Collins,4Th Estate,Paperback,Historical Fiction,"Historical Fiction, Literary Fiction",Fiction,,,8.99,400,English,0,0,1,,Atakora,400-500,£8-£10,11
12,The Handmaid's Tale,Margaret Atwood,1996,9780099740919,Penguin Random House,Vintage,Paperback,Classic Fiction,Dystopian Fiction,Fiction,The Handmaids Tale,1,7.99,324,English,1,0,1,,Atwood,300-400,£8-£10,4
