Name,Author,Pub Year,ISBN-13,Publisher,Imprint Publisher,BookType,Primary Genre,Genres,Ficiton/non-fiction,Series,Volume,Unit Price,Page number,Language,Read by Stinky,Read by Matt,QTY,To/From
Against The Loveless World,Susan Abulhawa,2020,9781526626400,Bloomsbury,Bloomsbury Circus,Proof,Modern & Contemporary Fiction,Political Fiction,Fiction,0,na,n/a,364,English,0,0,1,
Call me by your name,Andre Aciman,2017,9781786495259,Grove Atlantic,Atlantic books,Paperback,Modern & Contemporary Fiction,"Romance, drama, coming-of-age",Fiction,0,na,£8.99,248,English,1,0,1,
The Hitchhikers guide to the galaxy,Douglas Adams,1979,330258648,Pan,Pan,paperback - A format,Science Fiction,"Young Adult, Science Fiction, Fantasy",Fiction,0,na,£0.90,159,English,1,0,1,
Half of a Yellow Sun,Chimamanda Ngozi Adichie,2017,9780007200283,Harper Collins,4th estate,Paperback,Historical Fiction,"Novel, Historical Fiction, Political Fiction",Fiction,0,na,£8.99,433,English,0,0,1,
Ghosts,Dolly Alderton,2020,9780241434543,Penguin Random House ,Fig Tree,hardback,Romance,"Fantasy Romance, Modern & Contempary",Fiction,0,na,£14.99,338,English,1,0,1,
A Long Petal Of The Sun,Isabel Allende,2020,9781526615909,Bloomsbury,Bloomsbury,Hardback,Historical Fiction,Historical Fiction,Fiction,0,na,na,311,English,0,0,1,
Violeta,Isabel Allende,2022,9781526648358,Bloomsbury,Bloomsbury,Proof,Historical Fiction,Historical Fiction,Fiction,0,na,na,319,English,0,0,1,
Carmen and Grace,Melissa Coss Aquino,2023,9781837931224,Bloomsbury,Head of Zeus,Proof,Modern & Contemporary Fiction,"Coming-of-age, Mystery, Domestic Fiction",Fiction,0,na,na,389,English,0,0,2,
The Leviathan,Rosie Andrews,2022,9781526637345,Bloomsbury,Raven Books,Proof,Historical Fiction,"Historical Fiction, Fairy Tale",Fiction,0,na,na,306,English,1,0,1,
Violeta,Isabel Allende,2022,9781526648341,Bloomsbury,Bloomsbury,Hardback,Historical Fiction,Historical Fiction,Fiction,0,na,£16.99,320,English,0,0,1,
Falling Animals,Sheila Armstrong,2023,9781526635846,Bloomsbury,Bloomsbury Circus,Proof,Modern & Contemporary Fiction,Modern & Contemporary Fiction,Fiction,0,na,na,229,English,0,0,1,
